t_date,option_symbol,expiration_date,price_strike,call_put,exchange,style,Ask,Bid,price_open,price_high,price_low,price,volume,openinterest,start_date_forward_price,option_id,comment
2016-01-22 00:00:00.0,SPY   181221C00190000,2018-12-21 00:00:00.0,190.0,C,CBOE,A,23.85,22.52,23.0,23.82,23.0,23.185001,46,496,190.39,100025119,
2016-01-22 00:00:00.0,SPY   181221C00195000,2018-12-21 00:00:00.0,195.0,C,CBOE,A,21.36,20.14,,,,20.75,0,129,190.39,100025121,
2016-01-25 00:00:00.0,SPY   181221C00190000,2018-12-21 00:00:00.0,190.0,C,CBOE,A,22.27,20.88,22.5,22.9,21.71,21.575,30,541,190.39,100025119,
2016-01-25 00:00:00.0,SPY   181221C00195000,2018-12-21 00:00:00.0,195.0,C,CBOE,A,19.87,18.6,,,,19.235,0,129,190.39,100025121,
2016-01-26 00:00:00.0,SPY   181221C00190000,2018-12-21 00:00:00.0,190.0,C,CBOE,A,23.56,22.13,23.09,23.09,23.09,22.845,4,569,190.39,100025119,
2016-01-26 00:00:00.0,SPY   181221C00195000,2018-12-21 00:00:00.0,195.0,C,CBOE,A,21.08,20.0,,,,20.54,0,129,190.39,100025121,
2016-01-27 00:00:00.0,SPY   181221C00190000,2018-12-21 00:00:00.0,190.0,C,CBOE,A,22.26,20.68,23.31,23.73,21.51,21.470001,12,573,190.39,100025119,
2016-01-27 00:00:00.0,SPY   181221C00195000,2018-12-21 00:00:00.0,195.0,C,CBOE,A,19.84,18.41,20.05,20.05,20.05,19.125,1,129,190.39,100025121,
2016-01-28 00:00:00.0,SPY   181221C00190000,2018-12-21 00:00:00.0,190.0,C,CBOE,A,22.4,20.67,22.34,22.45,22.0,21.535,34,585,190.39,100025119,
2016-01-28 00:00:00.0,SPY   181221C00195000,2018-12-21 00:00:00.0,195.0,C,CBOE,A,19.87,18.45,,,,19.16,0,130,190.39,100025121,
2016-01-29 00:00:00.0,SPY   181221C00190000,2018-12-21 00:00:00.0,190.0,C,CBOE,A,25.12,23.48,23.48,24.13,23.48,24.3,12,619,190.39,100025119,
2016-01-29 00:00:00.0,SPY   181221C00195000,2018-12-21 00:00:00.0,195.0,C,CBOE,A,22.55,20.99,21.11,21.49,21.11,21.77,24,130,190.39,100025121,
