t_date,option_symbol,expiration_date,price_strike,call_put,exchange,style,Ask,Bid,price_open,price_high,price_low,price,iv,preiv,delta,gamma,theta,vega,rho,volume,openinterest,start_date_forward_price,option_id,comment
2005-01-24 00:00:00.0,FYNLC,2007-12-22 00:00:00.0,115.0,C,CBOE,A,15.5,15.3,16.0,16.0,15.5,15.4,0.165605,0.165605,0.635943,0.012167,-0.010615,0.704536,1.673111,401,13,116.55,,
2005-01-24 00:00:00.0,FYNLD,2007-12-22 00:00:00.0,120.0,C,CBOE,A,12.7,12.5,13.0,13.0,13.0,12.6,0.158238,0.158238,0.576139,0.013284,-0.010245,0.733844,1.566049,9,20,116.55,,
2005-01-25 00:00:00.0,FYNLC,2007-12-22 00:00:00.0,115.0,C,CBOE,A,15.8,15.5,16.0,16.0,16.0,15.65,0.166353,0.166353,0.63967,0.012042,-0.010674,0.702895,1.68176,10,410,116.55,,
2005-01-25 00:00:00.0,FYNLD,2007-12-22 00:00:00.0,120.0,C,CBOE,A,13.0,12.7,13.3,13.3,12.6,12.85,0.159193,0.159193,0.580495,0.013143,-0.010324,0.739143,1.576072,2,21,116.55,,
2005-01-26 00:00:00.0,FYNLC,2007-12-22 00:00:00.0,115.0,C,CBOE,A,15.9,15.7,16.0,16.0,16.0,15.799999,0.165497,0.165497,0.643893,0.012025,-0.010695,0.702091,1.695842,10,420,116.55,,
2005-01-26 00:00:00.0,FYNLD,2007-12-22 00:00:00.0,120.0,C,CBOE,A,13.1,12.8,13.2,13.2,13.2,12.950001,0.157918,0.157918,0.584727,0.013183,-0.010339,0.741131,1.593292,1000,22,116.55,,
2005-01-27 00:00:00.0,FYNLC,2007-12-22 00:00:00.0,115.0,C,CBOE,A,16.0,15.7,,,,15.85,0.164556,0.164556,0.646359,0.01205,-0.010695,0.703394,1.70519,0,430,116.55,,
2005-01-27 00:00:00.0,FYNLD,2007-12-22 00:00:00.0,120.0,C,CBOE,A,13.1,12.8,,,,12.950001,0.156456,0.156456,0.587011,0.013271,-0.010327,0.740411,1.602957,0,1022,116.55,,
2005-01-28 00:00:00.0,FYNLC,2007-12-22 00:00:00.0,115.0,C,CBOE,A,15.7,15.5,,,,15.6,0.161158,0.161158,0.647004,0.012303,-0.01061,0.702499,1.713633,0,430,116.55,,
2005-01-28 00:00:00.0,FYNLD,2007-12-22 00:00:00.0,120.0,C,CBOE,A,12.9,12.6,,,,12.75,0.153914,0.153914,0.586558,0.013503,-0.010256,0.741169,1.606837,0,1822,116.55,,
2005-01-31 00:00:00.0,FYNLC,2007-12-22 00:00:00.0,115.0,C,CBOE,A,16.2,16.0,,,,16.1,0.161991,0.161991,0.655283,0.012071,-0.010715,0.699045,1.73375,0,430,116.55,,
