t_date,option_symbol,expiration_date,price_strike,call_put,exchange,style,Ask,Bid,price_open,price_high,price_low,price,volume,openinterest,start_date_forward_price,option_id,comment
2015-01-23 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,28.87,24.79,,,,26.830002,0,353,204.79,99946526,
2015-01-23 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,25.99,22.0,24.44,24.64,24.44,23.994999,7,155,204.79,99946524,
2015-01-26 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,27.88,25.15,27.35,27.35,27.33,26.515,13,353,204.79,99946526,
2015-01-26 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,25.53,22.56,,,,24.045,0,161,204.79,99946524,
2015-01-27 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,28.36,25.13,26.58,26.58,26.31,26.744999,42,366,204.79,99946526,
2015-01-27 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,25.78,23.18,23.0,23.41,23.0,24.48,545,161,204.79,99946524,
2015-01-28 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,26.08,24.0,26.27,26.56,24.0,25.04,807,408,204.79,99946526,
2015-01-28 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,23.61,20.5,23.33,24.66,23.33,22.055,57,706,204.79,99946524,
2015-01-29 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,27.0,22.95,25.25,25.6,24.0,24.975,17,931,204.79,99946526,
2015-01-29 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,24.97,20.5,,,,22.735,0,763,204.79,99946524,
2015-01-30 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,26.15,24.0,24.59,26.0,24.14,25.075,7,946,204.79,99946526,
2015-01-30 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,23.69,21.5,,,,22.595001,0,763,204.79,99946524,
2015-02-02 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,27.0,22.82,24.25,24.26,23.8,24.91,18,953,204.79,99946526,
2015-02-02 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,25.0,21.5,,,,23.25,0,763,204.79,99946524,
2015-02-03 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,28.98,25.6,26.2,27.39,25.58,27.29,13,967,204.79,99946526,
2015-02-03 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,26.35,23.09,,,,24.720001,0,763,204.79,99946524,
2015-02-04 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,28.25,24.0,27.51,27.51,27.49,26.125,36,970,204.79,99946526,
2015-02-04 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,25.8,21.05,25.67,25.67,25.67,23.425,29,763,204.79,99946524,
2015-02-05 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,29.5,25.22,27.33,27.33,27.17,27.36,4,1006,204.79,99946526,
2015-02-05 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,25.87,24.52,25.0,25.0,25.0,25.195,2,792,204.79,99946524,
2015-02-06 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,30.43,28.16,28.81,28.81,28.53,29.295,2,1003,204.79,99946526,
2015-02-06 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,27.78,25.28,25.0,25.0,25.0,26.53,11,792,204.79,99946524,
2015-02-09 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,28.71,27.03,27.95,27.95,27.95,27.869999,1,1004,204.79,99946526,
2015-02-09 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,26.15,24.16,,,,25.154999,0,803,204.79,99946524,
2015-02-10 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,30.22,27.43,,,,28.825,0,1005,204.79,99946526,
2015-02-10 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,27.11,24.96,,,,26.035,0,803,204.79,99946524,
2015-02-11 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,31.0,27.0,28.87,28.87,28.87,29.0,16,1005,204.79,99946526,
2015-02-11 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,28.35,24.0,,,,26.175,0,803,204.79,99946524,
2015-02-12 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,31.91,27.4,,,,29.654999,0,991,204.79,99946526,
2015-02-12 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,29.29,25.0,26.0,26.0,26.0,27.145,1,803,204.79,99946524,
2015-02-13 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,32.0,28.0,30.0,30.0,30.0,30.0,20,991,204.79,99946526,
2015-02-13 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,29.5,26.5,,,,28.0,0,803,204.79,99946524,
2015-02-17 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,31.29,29.21,30.47,30.47,30.47,30.25,15,1011,204.79,99946526,
2015-02-17 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,28.43,27.36,27.8,27.8,27.8,27.895,1,803,204.79,99946524,
2015-02-18 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,31.0,28.0,29.59,29.59,29.59,29.5,1,1026,204.79,99946526,
2015-02-18 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,29.5,26.5,27.81,27.81,27.81,28.0,10,803,204.79,99946524,
2015-02-19 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,31.8,29.1,,,,30.45,0,1025,204.79,99946526,
2015-02-19 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,28.94,27.0,,,,27.970001,0,813,204.79,99946524,
2015-02-20 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,32.5,28.4,,,,30.45,0,1025,204.79,99946526,
2015-02-20 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,29.5,25.64,28.0,29.5,28.0,27.57,192,813,204.79,99946524,
2015-02-23 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,32.38,29.6,,,,30.990002,0,1025,204.79,99946526,
2015-02-23 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,29.78,27.0,27.98,27.98,27.98,28.39,1,994,204.79,99946524,
2015-02-24 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,32.15,28.81,,,,30.48,0,1025,204.79,99946526,
2015-02-24 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,29.28,26.0,,,,27.64,0,995,204.79,99946524,
2015-02-25 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,31.91,29.5,,,,30.705,0,1025,204.79,99946526,
2015-02-25 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,29.0,27.0,,,,28.0,0,995,204.79,99946524,
2015-02-26 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,31.91,27.39,29.5,29.5,29.5,29.65,1,1025,204.79,99946526,
2015-02-26 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,27.74,26.23,27.0,27.0,27.0,26.985,1,995,204.79,99946524,
2015-02-27 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,31.63,27.13,,,,29.38,0,1025,204.79,99946526,
2015-02-27 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,28.95,26.0,,,,27.475,0,996,204.79,99946524,
2015-03-02 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,31.0,27.78,29.75,29.75,29.75,29.39,2,1025,204.79,99946526,
2015-03-02 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,28.2,26.5,,,,27.35,0,996,204.79,99946524,
2015-03-03 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,31.78,27.13,29.4,29.4,29.4,29.455,1,1025,204.79,99946526,
2015-03-03 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,28.78,26.0,,,,27.39,0,996,204.79,99946524,
2015-03-04 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,30.96,26.55,28.5,28.5,28.5,28.755,4,1026,204.79,99946526,
2015-03-04 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,27.98,24.0,26.0,26.0,26.0,25.99,1,996,204.79,99946524,
2015-03-05 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,30.92,26.68,,,,28.8,10,1022,204.79,99946526,
2015-03-05 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,26.62,25.62,25.83,25.83,25.83,26.12,1,997,204.79,99946524,
2015-03-06 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,29.5,25.02,,,,27.26,7,1022,204.79,99946526,
2015-03-06 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,26.83,24.0,25.15,25.15,24.34,25.415,15,997,204.79,99946524,
2015-03-09 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,29.74,25.55,,,,27.645,0,1029,204.79,99946526,
2015-03-09 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,26.1,24.0,25.1,25.1,25.1,25.05,10,1010,204.79,99946524,
2015-03-10 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,27.8,23.05,26.37,26.37,25.7,25.425,6,1029,204.79,99946526,
2015-03-10 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,25.0,20.44,24.15,24.15,23.25,22.720001,29,1019,204.79,99946524,
2015-03-11 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,26.63,24.49,25.75,25.87,25.5,25.56,95,1033,204.79,99946526,
2015-03-11 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,24.95,22.02,,,,23.485,0,1025,204.79,99946524,
2015-03-12 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,27.39,25.63,,,,26.509998,0,1083,204.79,99946526,
2015-03-12 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,24.58,23.38,23.5,23.5,23.5,23.98,1,1025,204.79,99946524,
2015-03-13 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,28.05,24.65,26.28,26.28,25.69,26.349998,5,1083,204.79,99946526,
2015-03-13 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,25.33,22.34,23.55,23.55,23.55,23.835,5,1026,204.79,99946524,
2015-03-16 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,29.48,25.0,,,,27.24,0,1087,204.79,99946526,
2015-03-16 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,26.71,23.76,23.85,23.85,23.85,25.235,7,1031,204.79,99946524,
2015-03-17 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,28.74,26.85,,,,27.795,0,1087,204.79,99946526,
2015-03-17 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,25.07,24.14,24.4,24.4,24.35,24.605,33,1038,204.79,99946524,
2015-03-18 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,28.5,27.45,,,,27.975,0,1087,204.79,99946526,
2015-03-18 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,25.7,25.04,23.94,25.2,23.89,25.37,100,1071,204.79,99946524,
2015-03-19 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,29.98,25.24,27.91,27.91,27.6,27.61,16,1087,204.79,99946526,
2015-03-19 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,27.03,24.76,,,,25.895,0,1131,204.79,99946524,
2015-03-20 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,31.11,26.74,,,,28.925,0,1089,204.79,99946526,
2015-03-20 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,26.55,25.41,26.1,26.24,25.93,25.98,35,1131,204.79,99946524,
2015-03-23 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,30.16,26.59,27.37,27.37,27.37,28.375,1,1089,204.79,99946526,
2015-03-23 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,27.3,23.72,26.07,26.07,26.02,25.509998,16,1166,204.79,99946524,
2015-03-24 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,29.47,27.51,,,,28.49,0,1088,204.79,99946526,
2015-03-24 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,26.64,23.08,25.3,25.3,25.3,24.86,2,1182,204.79,99946524,
2015-03-25 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,27.72,25.9,,,,26.81,0,1088,204.79,99946526,
2015-03-25 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,24.99,23.0,,,,23.994999,0,1182,204.79,99946524,
2015-03-26 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,27.74,23.98,,,,25.86,0,1088,204.79,99946526,
2015-03-26 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,25.05,21.28,,,,23.165,0,1182,204.79,99946524,
2015-03-27 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,27.44,26.15,27.43,27.43,27.43,26.795,55,1088,204.79,99946526,
2015-03-27 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,25.19,21.39,23.29,23.5,23.29,23.29,11,1182,204.79,99946524,
2015-03-30 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,28.0,25.6,27.15,27.84,27.15,26.8,10,1123,204.79,99946526,
2015-03-30 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,26.47,22.8,24.99,24.99,24.99,24.634998,8,1193,204.79,99946524,
2015-03-31 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,28.0,24.22,,,,26.11,0,1131,204.79,99946526,
2015-03-31 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,25.46,22.3,,,,23.88,0,1201,204.79,99946524,
2015-04-01 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,27.39,24.29,,,,25.84,0,1131,204.79,99946526,
2015-04-01 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,24.7,22.0,22.98,22.98,22.98,23.35,4,1201,204.79,99946524,
2015-04-02 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,28.0,25.5,,,,26.75,0,1131,204.79,99946526,
2015-04-02 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,25.81,22.5,,,,24.154999,0,1205,204.79,99946524,
2015-04-06 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,28.0,25.62,26.34,26.34,26.34,26.810001,1,1131,204.79,99946526,
2015-04-06 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,25.42,22.83,,,,24.125,0,1205,204.79,99946524,
2015-04-07 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,28.0,25.26,,,,26.630001,0,1132,204.79,99946526,
2015-04-07 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,25.5,22.07,,,,23.785,0,1205,204.79,99946524,
2015-04-08 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,27.66,24.77,,,,26.215,0,1132,204.79,99946526,
2015-04-08 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,26.03,22.9,,,,24.465,0,1205,204.79,99946524,
2015-04-09 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,27.66,25.39,26.75,27.66,26.75,26.525,19,1132,204.79,99946526,
2015-04-09 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,26.52,22.56,,,,24.54,0,1205,204.79,99946524,
2015-04-10 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,28.0,26.39,27.66,27.66,27.66,27.195,1,1139,204.79,99946526,
2015-04-10 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,25.74,23.52,25.05,25.05,24.5,24.630001,45,1205,204.79,99946524,
2015-04-13 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,28.85,26.06,28.0,28.0,27.92,27.455,7,1138,204.79,99946526,
2015-04-13 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,25.94,23.26,24.75,24.75,24.75,24.6,1,1184,204.79,99946524,
2015-04-14 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,28.84,26.11,27.15,27.15,27.15,27.475,1,1134,204.79,99946526,
2015-04-14 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,26.72,23.24,,,,24.98,0,1183,204.79,99946524,
2015-04-15 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,29.3,27.31,,,,28.305,0,1134,204.79,99946526,
2015-04-15 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,26.41,24.16,,,,25.285,0,1183,204.79,99946524,
2015-04-16 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,29.73,27.21,,,,28.47,0,1134,204.79,99946526,
2015-04-16 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,26.87,24.41,,,,25.64,0,1183,204.79,99946524,
2015-04-17 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,28.16,25.46,,,,26.81,0,1134,204.79,99946526,
2015-04-17 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,25.9,23.5,24.3,24.3,24.2,24.7,26,1183,204.79,99946524,
2015-04-20 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,29.65,26.65,,,,28.15,0,1134,204.79,99946526,
2015-04-20 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,26.77,23.78,,,,25.275002,0,1189,204.79,99946524,
2015-04-21 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,29.7,26.34,28.17,28.17,28.17,28.02,1,1134,204.79,99946526,
2015-04-21 00:00:00.0,SPY   171215C00205000,2017-12-15 00:00:00.0,205.0,C,CBOE,A,26.85,23.48,,,,25.165,0,1189,204.79,99946524,
2015-04-22 00:00:00.0,SPY   171215C00200000,2017-12-15 00:00:00.0,200.0,C,CBOE,A,29.39,27.25,,,,28.32,0,1134,204.79,99946526,
