t_date,option_symbol,expiration_date,price_strike,call_put,exchange,style,Ask,Bid,price_open,price_high,price_low,price,iv,preiv,delta,gamma,theta,vega,rho,volume,openinterest,start_date_forward_price,option_id,comment
2006-01-24 00:00:00.0,CYYLU,2008-12-20 00:00:00.0,125.0,C,CBOE,A,19.2,18.8,19.1,19.3,19.0,19.0,0.087166,0.087166,0.85978,0.011845,-0.013558,0.480861,2.611249,39,556,126.58,,
2006-01-24 00:00:00.0,CYYLZ,2008-12-20 00:00:00.0,130.0,C,CBOE,A,16.4,15.8,16.49,16.49,16.49,16.1,0.095567,0.095567,0.775605,0.014519,-0.013493,0.646261,2.385827,1,302,126.58,,
2006-01-25 00:00:00.0,CYYLU,2008-12-20 00:00:00.0,125.0,C,CBOE,A,19.2,18.8,18.6,18.6,18.6,19.0,0.087278,0.087278,0.859606,0.011847,-0.013581,0.480964,2.607649,5,587,126.58,,
2006-01-25 00:00:00.0,CYYLZ,2008-12-20 00:00:00.0,130.0,C,CBOE,A,16.4,15.9,16.3,16.3,16.3,16.15,0.09643,0.09643,0.774087,0.014454,-0.01352,0.648326,2.376096,20,303,126.58,,
2006-01-26 00:00:00.0,CYYLU,2008-12-20 00:00:00.0,125.0,C,CBOE,A,19.7,19.3,,,,19.5,0.083325,0.083325,0.878349,0.011173,-0.013658,0.438155,2.679898,0,592,126.58,,
2006-01-26 00:00:00.0,CYYLZ,2008-12-20 00:00:00.0,130.0,C,CBOE,A,16.9,16.5,,,,16.7,0.095474,0.095474,0.787132,0.014026,-0.013636,0.630204,2.424068,0,306,126.58,,
2006-01-27 00:00:00.0,CYYLU,2008-12-20 00:00:00.0,125.0,C,CBOE,A,20.3,19.9,20.2,20.2,20.2,20.099998,0.066018,0.066018,0.937691,0.008492,-0.013972,0.2685,2.911118,2,592,126.58,,
2006-01-27 00:00:00.0,CYYLZ,2008-12-20 00:00:00.0,130.0,C,CBOE,A,17.4,17.1,17.48,17.48,17.48,17.25,0.086603,0.086603,0.825243,0.013589,-0.013923,0.563629,2.574759,1,304,126.58,,
2006-01-30 00:00:00.0,CYYLU,2008-12-20 00:00:00.0,125.0,C,CBOE,A,20.5,20.1,20.3,20.3,20.3,20.3,0.070952,0.070952,0.925803,0.009062,-0.014108,0.306575,2.85024,3,592,126.58,,
2006-01-30 00:00:00.0,CYYLZ,2008-12-20 00:00:00.0,130.0,C,CBOE,A,17.6,17.2,17.3,17.3,17.3,17.400002,0.088414,0.088414,0.822679,0.013464,-0.014084,0.5676,2.55122,3,305,126.58,,
2006-01-31 00:00:00.0,CYYLU,2008-12-20 00:00:00.0,125.0,C,CBOE,A,20.0,19.8,,,,19.9,0.077093,0.077093,0.903365,0.010223,-0.01403,0.371668,2.758912,0,592,126.58,,
2006-01-31 00:00:00.0,CYYLZ,2008-12-20 00:00:00.0,130.0,C,CBOE,A,17.2,16.8,,,,17.0,0.090897,0.090897,0.808166,0.013829,-0.013998,0.592768,2.491352,0,305,126.58,,
2006-02-01 00:00:00.0,CYYLU,2008-12-20 00:00:00.0,125.0,C,CBOE,A,20.3,19.9,,,,20.099998,0.06897,0.06897,0.930019,0.008939,-0.014208,0.292306,2.859787,0,592,126.58,,
2006-02-01 00:00:00.0,CYYLZ,2008-12-20 00:00:00.0,130.0,C,CBOE,A,17.4,17.1,,,,17.25,0.088012,0.088012,0.822019,0.013595,-0.014152,0.567331,2.542574,0,305,126.58,,
2006-02-02 00:00:00.0,CYYLU,2008-12-20 00:00:00.0,125.0,C,CBOE,A,19.5,19.1,19.2,19.2,19.2,19.3,0.080146,0.080146,0.887328,0.011079,-0.014042,0.412121,2.68914,50,592,126.58,,
2006-02-02 00:00:00.0,CYYLZ,2008-12-20 00:00:00.0,130.0,C,CBOE,A,16.7,16.3,,,,16.5,0.093297,0.093297,0.792369,0.014243,-0.013971,0.616759,2.422533,0,305,126.58,,
2006-02-03 00:00:00.0,CYYLU,2008-12-20 00:00:00.0,125.0,C,CBOE,A,19.1,18.6,19.0,19.0,19.0,18.85,0.079943,0.079943,0.882575,0.011498,-0.014085,0.422201,2.666927,150,630,126.58,,
2006-02-03 00:00:00.0,CYYLZ,2008-12-20 00:00:00.0,130.0,C,CBOE,A,16.3,15.8,,,,16.05,0.092404,0.092404,0.787376,0.014659,-0.013971,0.622177,2.401335,0,305,126.58,,
2006-02-06 00:00:00.0,CYYLU,2008-12-20 00:00:00.0,125.0,C,CBOE,A,19.1,18.8,,,,18.95,0.07625,0.07625,0.895869,0.011052,-0.014185,0.38764,2.711598,0,744,126.58,,
2006-02-06 00:00:00.0,CYYLZ,2008-12-20 00:00:00.0,130.0,C,CBOE,A,16.3,15.9,,,,16.099998,0.089657,0.089657,0.797591,0.014665,-0.014064,0.604758,2.436274,0,305,126.58,,
2006-02-07 00:00:00.0,CYYLU,2008-12-20 00:00:00.0,125.0,C,CBOE,A,18.5,18.2,18.3,18.3,18.2,18.35,0.082634,0.082634,0.867812,0.012174,-0.014058,0.455226,2.600208,101,744,126.58,,
2006-02-07 00:00:00.0,CYYLZ,2008-12-20 00:00:00.0,130.0,C,CBOE,A,15.7,15.3,16.0,16.0,15.4,15.5,0.092523,0.092523,0.777083,0.015158,-0.013909,0.634623,2.35508,4,305,126.58,,
2006-02-08 00:00:00.0,CYYLU,2008-12-20 00:00:00.0,125.0,C,CBOE,A,19.2,18.8,18.3,18.3,18.3,19.0,0.075722,0.075722,0.898312,0.01094,-0.014202,0.380978,2.716683,100,832,126.58,,
2006-02-08 00:00:00.0,CYYLZ,2008-12-20 00:00:00.0,130.0,C,CBOE,A,16.4,16.0,,,,16.2,0.090325,0.090325,0.797456,0.014563,-0.014085,0.604947,2.430783,0,305,126.58,,
2006-02-09 00:00:00.0,CYYLU,2008-12-20 00:00:00.0,125.0,C,CBOE,A,19.1,18.7,,,,18.900002,0.07961,0.07961,0.884923,0.011404,-0.014157,0.415366,2.661546,0,932,126.58,,
2006-02-09 00:00:00.0,CYYLZ,2008-12-20 00:00:00.0,130.0,C,CBOE,A,16.3,15.9,16.3,16.3,16.3,16.099998,0.092421,0.092421,0.789014,0.014619,-0.014047,0.618135,2.394604,1,305,126.58,,
2006-02-10 00:00:00.0,CYYLU,2008-12-20 00:00:00.0,125.0,C,CBOE,A,19.4,18.9,18.7,18.7,18.7,19.15,0.075654,0.075654,0.900634,0.010765,-0.01427,0.374668,2.719216,10,932,126.58,,
2006-02-10 00:00:00.0,CYYLZ,2008-12-20 00:00:00.0,130.0,C,CBOE,A,16.6,16.2,16.3,16.3,16.3,16.400002,0.091439,0.091439,0.797884,0.014365,-0.014162,0.604271,2.42516,10,305,126.58,,
2006-02-13 00:00:00.0,CYYLU,2008-12-20 00:00:00.0,125.0,C,CBOE,A,19.1,18.8,18.7,18.7,18.7,18.95,0.078555,0.078555,0.889485,0.011246,-0.014274,0.402927,2.66765,1,942,126.58,,
2006-02-13 00:00:00.0,CYYLZ,2008-12-20 00:00:00.0,130.0,C,CBOE,A,16.3,16.0,,,,16.15,0.091963,0.091963,0.792127,0.014586,-0.014159,0.61182,2.396365,0,303,126.58,,
2006-02-14 00:00:00.0,CYYLU,2008-12-20 00:00:00.0,125.0,C,CBOE,A,20.0,19.4,19.1,19.7,19.1,19.7,0.066408,0.066408,0.935141,0.008839,-0.014474,0.272959,2.842601,300,942,126.58,,
2006-02-14 00:00:00.0,CYYLZ,2008-12-20 00:00:00.0,130.0,C,CBOE,A,17.1,16.6,,,,16.85,0.086388,0.086388,0.822681,0.013953,-0.014361,0.56052,2.51445,0,303,126.58,,
2006-02-15 00:00:00.0,CYYLU,2008-12-20 00:00:00.0,125.0,C,CBOE,A,20.3,19.9,,,,20.099998,0.061415,0.061415,0.952894,0.007402,-0.014653,0.212693,2.905244,0,676,126.58,,
2006-02-15 00:00:00.0,CYYLZ,2008-12-20 00:00:00.0,130.0,C,CBOE,A,17.4,17.0,,,,17.2,0.084446,0.084446,0.835328,0.013573,-0.014531,0.536227,2.55876,0,303,126.58,,
2006-02-16 00:00:00.0,CYYLU,2008-12-20 00:00:00.0,125.0,C,CBOE,A,20.9,20.5,20.3,20.7,20.3,20.7,0.185687,-1.0,0.762888,0.007638,-0.015789,0.672437,2.023005,105,676,126.58,,
2006-02-16 00:00:00.0,CYYLZ,2008-12-20 00:00:00.0,130.0,C,CBOE,A,17.9,17.4,17.3,17.3,17.3,17.65,0.078199,0.078199,0.863466,0.01285,-0.014689,0.476434,2.668678,17,303,126.58,,
2006-02-17 00:00:00.0,CYYLU,2008-12-20 00:00:00.0,125.0,C,CBOE,A,20.7,20.0,20.5,20.5,20.5,20.35,0.186402,-1.0,0.759964,0.007682,-0.015785,0.675011,2.009423,4,681,126.58,,
2006-02-17 00:00:00.0,CYYLZ,2008-12-20 00:00:00.0,130.0,C,CBOE,A,17.8,17.1,17.6,17.6,17.6,17.45,0.079865,0.079865,0.854864,0.013153,-0.01464,0.495171,2.6327,1,320,126.58,,
2006-02-21 00:00:00.0,CYYLU,2008-12-20 00:00:00.0,125.0,C,CBOE,A,20.3,20.0,,,,20.15,0.049857,0.049857,0.980625,0.004373,-0.014821,0.101886,2.995992,0,685,126.58,,
2006-02-21 00:00:00.0,CYYLZ,2008-12-20 00:00:00.0,130.0,C,CBOE,A,17.4,17.0,17.8,17.8,17.1,17.2,0.080801,0.080801,0.848227,0.013453,-0.014625,0.507991,2.597985,128,321,126.58,,
2006-02-22 00:00:00.0,CYYLU,2008-12-20 00:00:00.0,125.0,C,CBOE,A,20.9,20.6,,,,20.75,0.184499,-1.0,0.765735,0.007641,-0.015833,0.667534,2.026088,0,685,126.58,,
