t_date,option_symbol,expiration_date,price_strike,call_put,exchange,style,Ask,Bid,price_open,price_high,price_low,price,volume,openinterest,start_date_forward_price,option_id,comment
2013-01-24 00:00:00.0,SPY   151219C00145000,2015-12-19 00:00:00.0,145.0,C,CBOE,A,18.03,17.1,17.64,17.86,17.56,17.565,19,79418,149.53,99924114,
2013-01-24 00:00:00.0,SPY   151219C00150000,2015-12-19 00:00:00.0,150.0,C,CBOE,A,15.48,14.5,14.66,15.6,14.66,14.99,108,797,149.53,99924112,
2013-01-25 00:00:00.0,SPY   151219C00145000,2015-12-19 00:00:00.0,145.0,C,CBOE,A,18.59,17.51,18.4,18.4,18.4,18.05,5,79433,149.53,99924114,
2013-01-25 00:00:00.0,SPY   151219C00150000,2015-12-19 00:00:00.0,150.0,C,CBOE,A,15.79,15.3,15.49,15.77,15.3,15.545,58,902,149.53,99924112,
2013-01-28 00:00:00.0,SPY   151219C00145000,2015-12-19 00:00:00.0,145.0,C,CBOE,A,18.34,17.36,17.69,17.69,17.69,17.85,19,79438,149.53,99924114,
2013-01-28 00:00:00.0,SPY   151219C00150000,2015-12-19 00:00:00.0,150.0,C,CBOE,A,15.83,15.3,15.93,15.93,15.35,15.565001,91,951,149.53,99924112,
2013-01-29 00:00:00.0,SPY   151219C00145000,2015-12-19 00:00:00.0,145.0,C,CBOE,A,18.47,17.56,,,,18.015,0,79438,149.53,99924114,
2013-01-29 00:00:00.0,SPY   151219C00150000,2015-12-19 00:00:00.0,150.0,C,CBOE,A,15.9,15.42,15.42,15.68,15.34,15.66,21,1042,149.53,99924112,
2013-01-30 00:00:00.0,SPY   151219C00145000,2015-12-19 00:00:00.0,145.0,C,CBOE,A,18.34,17.41,18.2,18.2,18.2,17.875,600,79438,149.53,99924114,
2013-01-30 00:00:00.0,SPY   151219C00150000,2015-12-19 00:00:00.0,150.0,C,CBOE,A,15.74,14.86,15.5,15.71,15.36,15.299999,434,1060,149.53,99924112,
2013-01-31 00:00:00.0,SPY   151219C00145000,2015-12-19 00:00:00.0,145.0,C,CBOE,A,18.25,17.3,17.9,17.9,17.9,17.775,500,79538,149.53,99924114,
2013-01-31 00:00:00.0,SPY   151219C00150000,2015-12-19 00:00:00.0,150.0,C,CBOE,A,15.65,14.77,15.25,15.88,15.25,15.21,33,1473,149.53,99924112,
2013-02-01 00:00:00.0,SPY   151219C00145000,2015-12-19 00:00:00.0,145.0,C,CBOE,A,19.09,18.49,,,,18.79,0,79538,149.53,99924114,
2013-02-01 00:00:00.0,SPY   151219C00150000,2015-12-19 00:00:00.0,150.0,C,CBOE,A,16.44,14.89,16.1,16.18,15.69,15.665001,25,1503,149.53,99924112,
2013-02-04 00:00:00.0,SPY   151219C00145000,2015-12-19 00:00:00.0,145.0,C,CBOE,A,18.12,17.33,,,,17.725,0,79538,149.53,99924114,
2013-02-04 00:00:00.0,SPY   151219C00150000,2015-12-19 00:00:00.0,150.0,C,CBOE,A,15.78,15.38,15.69,15.69,15.47,15.58,68,1528,149.53,99924112,
2013-02-05 00:00:00.0,SPY   151219C00145000,2015-12-19 00:00:00.0,145.0,C,CBOE,A,18.8,18.42,,,,18.61,0,79538,149.53,99924114,
2013-02-05 00:00:00.0,SPY   151219C00150000,2015-12-19 00:00:00.0,150.0,C,CBOE,A,16.23,15.96,16.14,16.14,15.9,16.095,41,1596,149.53,99924112,
2013-02-06 00:00:00.0,SPY   151219C00145000,2015-12-19 00:00:00.0,145.0,C,CBOE,A,19.04,18.35,18.73,18.73,18.73,18.695,11,79538,149.53,99924114,
2013-02-06 00:00:00.0,SPY   151219C00150000,2015-12-19 00:00:00.0,150.0,C,CBOE,A,16.4,15.84,15.6,16.1,15.6,16.119999,16,1628,149.53,99924112,
2013-02-07 00:00:00.0,SPY   151219C00145000,2015-12-19 00:00:00.0,145.0,C,CBOE,A,18.73,18.21,,,,18.47,0,79549,149.53,99924114,
2013-02-07 00:00:00.0,SPY   151219C00150000,2015-12-19 00:00:00.0,150.0,C,CBOE,A,16.05,15.74,16.16,16.16,15.6,15.8949995,416,1644,149.53,99924112,
2013-02-08 00:00:00.0,SPY   151219C00145000,2015-12-19 00:00:00.0,145.0,C,CBOE,A,19.1,18.32,18.8,18.8,18.07,18.71,16,79549,149.53,99924114,
2013-02-08 00:00:00.0,SPY   151219C00150000,2015-12-19 00:00:00.0,150.0,C,CBOE,A,16.26,15.68,16.74,16.74,16.11,15.97,4096,1567,149.53,99924112,
2013-02-11 00:00:00.0,SPY   151219C00145000,2015-12-19 00:00:00.0,145.0,C,CBOE,A,18.99,18.55,18.86,18.86,18.86,18.77,11,79564,149.53,99924114,
2013-02-11 00:00:00.0,SPY   151219C00150000,2015-12-19 00:00:00.0,150.0,C,CBOE,A,16.29,15.81,15.85,16.27,15.85,16.050001,34,5619,149.53,99924112,
2013-02-12 00:00:00.0,SPY   151219C00145000,2015-12-19 00:00:00.0,145.0,C,CBOE,A,19.29,18.66,,,,18.975,0,79575,149.53,99924114,
2013-02-12 00:00:00.0,SPY   151219C00150000,2015-12-19 00:00:00.0,150.0,C,CBOE,A,16.74,16.12,16.34,16.42,16.34,16.43,40,5634,149.53,99924112,
2013-02-13 00:00:00.0,SPY   151219C00145000,2015-12-19 00:00:00.0,145.0,C,CBOE,A,19.38,18.26,19.01,19.19,19.01,18.82,22,79574,149.53,99924114,
2013-02-13 00:00:00.0,SPY   151219C00150000,2015-12-19 00:00:00.0,150.0,C,CBOE,A,16.6,16.06,16.56,16.57,16.56,16.33,2,5541,149.53,99924112,
2013-02-14 00:00:00.0,SPY   151219C00145000,2015-12-19 00:00:00.0,145.0,C,CBOE,A,19.34,18.67,19.12,19.25,19.12,19.005001,3,79481,149.53,99924114,
2013-02-14 00:00:00.0,SPY   151219C00150000,2015-12-19 00:00:00.0,150.0,C,CBOE,A,16.68,16.26,16.45,16.6,16.45,16.470001,21,5542,149.53,99924112,
2013-02-15 00:00:00.0,SPY   151219C00145000,2015-12-19 00:00:00.0,145.0,C,CBOE,A,19.48,18.67,19.25,19.25,19.25,19.075,15,79484,149.53,99924114,
2013-02-15 00:00:00.0,SPY   151219C00150000,2015-12-19 00:00:00.0,150.0,C,CBOE,A,16.74,16.21,16.63,16.88,16.2,16.474998,1832,5562,149.53,99924112,
2013-02-19 00:00:00.0,SPY   151219C00145000,2015-12-19 00:00:00.0,145.0,C,CBOE,A,19.82,19.49,19.52,19.71,19.52,19.654999,129,79499,149.53,99924114,
2013-02-19 00:00:00.0,SPY   151219C00150000,2015-12-19 00:00:00.0,150.0,C,CBOE,A,17.08,16.76,16.83,17.01,16.74,16.92,72,7370,149.53,99924112,
2013-02-20 00:00:00.0,SPY   151219C00145000,2015-12-19 00:00:00.0,145.0,C,CBOE,A,18.99,18.39,19.6,19.6,19.6,18.689999,1,79616,149.53,99924114,
2013-02-20 00:00:00.0,SPY   151219C00150000,2015-12-19 00:00:00.0,150.0,C,CBOE,A,16.22,15.77,16.83,16.83,15.88,15.995,12,7441,149.53,99924112,
2013-02-21 00:00:00.0,SPY   151219C00145000,2015-12-19 00:00:00.0,145.0,C,CBOE,A,18.39,17.92,18.3,18.3,18.3,18.154999,26,79510,149.53,99924114,
2013-02-21 00:00:00.0,SPY   151219C00150000,2015-12-19 00:00:00.0,150.0,C,CBOE,A,15.84,15.17,15.84,15.85,15.33,15.505,46,7451,149.53,99924112,
2013-02-22 00:00:00.0,SPY   151219C00145000,2015-12-19 00:00:00.0,145.0,C,CBOE,A,19.0,18.72,18.44,18.66,18.44,18.86,11,79536,149.53,99924114,
2013-02-22 00:00:00.0,SPY   151219C00150000,2015-12-19 00:00:00.0,150.0,C,CBOE,A,16.73,16.12,15.84,16.12,15.84,16.425,249,7483,149.53,99924112,
2013-02-25 00:00:00.0,SPY   151219C00145000,2015-12-19 00:00:00.0,145.0,C,CBOE,A,18.53,16.5,17.65,17.65,17.65,17.515,10,79527,149.53,99924114,
2013-02-25 00:00:00.0,SPY   151219C00150000,2015-12-19 00:00:00.0,150.0,C,CBOE,A,16.01,14.03,16.79,16.79,15.5,15.02,14,7728,149.53,99924112,
2013-02-26 00:00:00.0,SPY   151219C00145000,2015-12-19 00:00:00.0,145.0,C,CBOE,A,18.16,17.6,18.0,18.0,17.87,17.880001,36,79537,149.53,99924114,
2013-02-26 00:00:00.0,SPY   151219C00150000,2015-12-19 00:00:00.0,150.0,C,CBOE,A,15.64,15.01,15.05,15.51,14.9,15.325001,10,7740,149.53,99924112,
2013-02-27 00:00:00.0,SPY   151219C00145000,2015-12-19 00:00:00.0,145.0,C,CBOE,A,19.17,18.74,18.21,18.5,18.21,18.955,85,79538,149.53,99924114,
2013-02-27 00:00:00.0,SPY   151219C00150000,2015-12-19 00:00:00.0,150.0,C,CBOE,A,16.44,16.11,15.84,16.15,15.84,16.275002,29,7749,149.53,99924112,
2013-02-28 00:00:00.0,SPY   151219C00145000,2015-12-19 00:00:00.0,145.0,C,CBOE,A,19.27,18.46,19.42,19.42,19.42,18.865,1,79533,149.53,99924114,
2013-02-28 00:00:00.0,SPY   151219C00150000,2015-12-19 00:00:00.0,150.0,C,CBOE,A,16.52,15.76,16.64,16.73,16.35,16.14,56,7778,149.53,99924112,
2013-03-01 00:00:00.0,SPY   151219C00145000,2015-12-19 00:00:00.0,145.0,C,CBOE,A,19.44,18.86,18.73,18.73,18.73,19.150002,40,79534,149.53,99924114,
