t_date,option_symbol,expiration_date,price_strike,call_put,exchange,style,Ask,Bid,price_open,price_high,price_low,price,volume,openinterest,start_date_forward_price,option_id,comment
2017-01-24 00:00:00.0,SPY   191220C00225000,2019-12-20 00:00:00.0,225.0,C,CBOE,A,27.42,25.53,27.35,27.35,26.49,26.475,392,279,227.53,100026439,
2017-01-24 00:00:00.0,SPY   191220C00230000,2019-12-20 00:00:00.0,230.0,C,CBOE,A,24.76,24.1,24.2,24.2,24.15,24.43,47,72720,227.53,100026441,
2017-01-25 00:00:00.0,SPY   191220C00225000,2019-12-20 00:00:00.0,225.0,C,CBOE,A,28.81,27.79,26.96,27.75,26.96,28.3,111,671,227.53,100026439,
2017-01-25 00:00:00.0,SPY   191220C00230000,2019-12-20 00:00:00.0,230.0,C,CBOE,A,26.09,25.27,25.25,25.25,24.92,25.68,22,72760,227.53,100026441,
2017-01-26 00:00:00.0,SPY   191220C00225000,2019-12-20 00:00:00.0,225.0,C,CBOE,A,28.78,27.5,,,,28.14,0,774,227.53,100026439,
2017-01-26 00:00:00.0,SPY   191220C00230000,2019-12-20 00:00:00.0,230.0,C,CBOE,A,26.08,24.63,25.35,25.46,25.35,25.355,314,72782,227.53,100026441,
2017-01-27 00:00:00.0,SPY   191220C00225000,2019-12-20 00:00:00.0,225.0,C,CBOE,A,28.54,27.5,27.37,27.99,27.37,28.02,20,774,227.53,100026439,
2017-01-27 00:00:00.0,SPY   191220C00230000,2019-12-20 00:00:00.0,230.0,C,CBOE,A,25.85,24.43,25.23,25.33,25.2,25.14,8,73096,227.53,100026441,
2017-01-30 00:00:00.0,SPY   191220C00225000,2019-12-20 00:00:00.0,225.0,C,CBOE,A,27.68,26.5,27.47,27.67,27.38,27.09,25,794,227.53,100026439,
2017-01-30 00:00:00.0,SPY   191220C00230000,2019-12-20 00:00:00.0,230.0,C,CBOE,A,25.04,23.7,24.1,24.1,24.0,24.37,21,73104,227.53,100026441,
2017-01-31 00:00:00.0,SPY   191220C00225000,2019-12-20 00:00:00.0,225.0,C,CBOE,A,27.52,26.11,26.4,26.9,26.3,26.815,53,809,227.53,100026439,
2017-01-31 00:00:00.0,SPY   191220C00230000,2019-12-20 00:00:00.0,230.0,C,CBOE,A,24.88,23.55,23.5,24.29,23.34,24.215,206,73125,227.53,100026441,
2017-02-01 00:00:00.0,SPY   191220C00225000,2019-12-20 00:00:00.0,225.0,C,CBOE,A,28.08,26.1,27.55,27.55,26.8,27.09,14,860,227.53,100026439,
2017-02-01 00:00:00.0,SPY   191220C00230000,2019-12-20 00:00:00.0,230.0,C,CBOE,A,25.4,23.9,24.8,24.8,23.47,24.65,7,73248,227.53,100026441,
2017-02-02 00:00:00.0,SPY   191220C00225000,2019-12-20 00:00:00.0,225.0,C,CBOE,A,27.72,26.1,26.55,27.3,26.55,26.91,273,874,227.53,100026439,
2017-02-02 00:00:00.0,SPY   191220C00230000,2019-12-20 00:00:00.0,230.0,C,CBOE,A,25.06,23.04,23.9,23.9,23.63,24.05,14,73247,227.53,100026441,
2017-02-03 00:00:00.0,SPY   191220C00225000,2019-12-20 00:00:00.0,225.0,C,CBOE,A,28.16,26.77,27.21,27.92,26.97,27.465,396,1147,227.53,100026439,
