t_date,option_symbol,expiration_date,price_strike,call_put,exchange,style,Ask,Bid,price_open,price_high,price_low,price,volume,openinterest,start_date_forward_price,option_id,comment
2013-01-24 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,20.52,19.86,20.1,20.1,20.1,20.19,1,671,149.53,99924113,
2013-01-24 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,23.07,22.41,,,,22.74,0,602,149.53,99924111,
2013-01-25 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,20.54,19.35,20.1,20.1,20.1,19.945,1,671,149.53,99924113,
2013-01-25 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,22.48,21.96,22.4,22.4,22.4,22.22,2,602,149.53,99924111,
2013-01-28 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,20.47,19.4,,,,19.935,0,671,149.53,99924113,
2013-01-28 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,22.62,22.0,22.5,22.5,22.23,22.310001,31,604,149.53,99924111,
2013-01-29 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,19.95,18.95,19.55,19.55,19.4,19.45,101,671,149.53,99924113,
2013-01-29 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,21.87,21.6,22.16,22.4,21.7,21.735,242,635,149.53,99924111,
2013-01-30 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,20.05,19.23,19.32,19.51,19.31,19.64,65,772,149.53,99924113,
2013-01-30 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,22.59,21.71,21.74,22.62,21.74,22.15,48,739,149.53,99924111,
2013-01-31 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,20.37,19.4,,,,19.885,0,816,149.53,99924113,
2013-01-31 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,22.82,21.89,22.5,22.5,22.0,22.355,51,786,149.53,99924111,
2013-02-01 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,19.5,18.93,19.47,19.72,19.47,19.215,3,816,149.53,99924113,
2013-02-01 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,21.88,21.35,21.94,21.94,21.94,21.615,1,834,149.53,99924111,
2013-02-04 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,20.39,19.81,19.75,20.2,19.75,20.099998,164,817,149.53,99924113,
2013-02-04 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,22.72,22.5,22.1,22.64,22.1,22.61,82,834,149.53,99924111,
2013-02-05 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,19.83,18.85,19.44,19.44,19.44,19.34,7,966,149.53,99924113,
2013-02-05 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,21.93,21.57,22.5,22.5,22.5,21.75,11,907,149.53,99924111,
2013-02-06 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,19.63,19.15,19.71,19.71,19.37,19.39,2162,966,149.53,99924113,
2013-02-06 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,22.03,21.61,,,,21.82,0,923,149.53,99924111,
2013-02-07 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,19.75,19.36,,,,19.555,0,2651,149.53,99924113,
2013-02-07 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,22.2,21.78,21.92,22.43,21.92,21.990002,21,923,149.53,99924111,
2013-02-08 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,19.28,18.55,19.0,19.0,19.0,18.915,1,2651,149.53,99924113,
2013-02-08 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,21.63,21.07,21.6,21.6,21.27,21.349998,79,934,149.53,99924111,
2013-02-11 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,19.1,18.71,19.1,19.1,19.1,18.904999,10,2651,149.53,99924113,
2013-02-11 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,21.59,21.12,21.5,21.5,21.4,21.355,25,952,149.53,99924111,
2013-02-12 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,18.98,18.52,18.94,18.95,18.84,18.75,1048,2661,149.53,99924113,
2013-02-12 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,21.43,20.92,21.4,21.4,21.1,21.175,23,960,149.53,99924111,
2013-02-13 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,19.0,18.52,18.9,18.9,18.9,18.76,11,3706,149.53,99924113,
2013-02-13 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,21.43,20.96,21.15,21.15,21.15,21.195,2,973,149.53,99924111,
2013-02-14 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,18.98,18.48,,,,18.73,0,3713,149.53,99924113,
2013-02-14 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,21.39,20.83,21.46,21.46,21.25,21.11,134,975,149.53,99924111,
2013-02-15 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,19.14,18.51,18.94,18.94,18.78,18.825,98,3713,149.53,99924113,
2013-02-15 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,21.58,21.02,21.23,21.38,21.18,21.3,146,1109,149.53,99924111,
2013-02-19 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,18.5,18.21,18.5,18.5,18.42,18.355,5,3811,149.53,99924113,
2013-02-19 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,21.1,20.51,21.0,21.0,20.61,20.805,54,1250,149.53,99924111,
2013-02-20 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,19.51,19.11,,,,19.310001,0,3811,149.53,99924113,
2013-02-20 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,21.97,21.55,,,,21.759998,0,1254,149.53,99924111,
2013-02-21 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,19.95,19.51,19.2,19.95,19.2,19.73,303,3809,149.53,99924113,
2013-02-21 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,22.4,21.97,22.0,22.6,22.0,22.185,11,1254,149.53,99924111,
2013-02-22 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,19.41,18.87,19.3,19.37,19.3,19.14,60,3812,149.53,99924113,
2013-02-22 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,21.86,21.31,21.74,21.74,21.74,21.585,5,1265,149.53,99924111,
2013-02-25 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,21.79,19.77,18.9,20.37,18.9,20.78,1464,3852,149.53,99924113,
2013-02-25 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,24.36,22.32,21.0,23.0,21.0,23.34,9,1269,149.53,99924111,
2013-02-26 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,20.56,20.11,20.47,20.47,20.26,20.335,240,3516,149.53,99924113,
2013-02-26 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,23.1,22.65,22.93,23.13,22.74,22.875,32,1273,149.53,99924111,
2013-02-27 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,19.54,19.08,19.7,19.7,19.16,19.310001,307,3419,149.53,99924113,
2013-02-27 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,21.94,21.51,,,,21.725,0,1300,149.53,99924111,
2013-02-28 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,19.64,18.94,19.2,19.3,18.95,19.29,7,3423,149.53,99924113,
2013-02-28 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,22.12,21.33,21.53,21.53,21.3,21.725,104,1300,149.53,99924111,
2013-03-01 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,19.46,19.06,19.35,19.35,19.35,19.259998,5,3424,149.53,99924113,
2013-03-01 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,21.92,21.48,22.3,22.3,21.69,21.7,102,1402,149.53,99924111,
2013-03-04 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,19.05,18.65,19.36,19.36,19.26,18.849998,29,3429,149.53,99924113,
2013-03-04 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,21.44,20.97,21.57,22.05,21.57,21.205,18,1402,149.53,99924111,
2013-03-05 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,18.34,17.99,,,,18.165,0,3441,149.53,99924113,
2013-03-05 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,20.65,20.4,20.55,20.55,20.33,20.525,368,1402,149.53,99924111,
2013-03-06 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,18.19,17.82,17.8,18.18,17.77,18.005001,72,3441,149.53,99924113,
2013-03-06 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,20.47,20.28,20.4,20.45,20.2,20.375,62,1764,149.53,99924111,
2013-03-07 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,17.87,17.58,17.87,17.87,17.75,17.725,297,3459,149.53,99924113,
2013-03-07 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,20.35,20.0,20.17,20.22,20.0,20.175,409,1772,149.53,99924111,
2013-03-08 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,17.45,17.2,17.5,17.5,17.5,17.325,5,3438,149.53,99924113,
2013-03-08 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,19.71,19.4,20.0,20.0,19.51,19.555,6,1653,149.53,99924111,
2013-03-11 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,17.22,16.88,17.5,17.5,17.5,17.05,10,3442,149.53,99924113,
2013-03-11 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,19.25,19.05,19.35,19.35,19.23,19.15,52,1659,149.53,99924111,
2013-03-12 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,17.21,17.0,17.24,17.24,17.14,17.105,50,3452,149.53,99924113,
2013-03-12 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,19.47,19.22,19.25,19.5,19.25,19.345,92,1672,149.53,99924111,
2013-03-13 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,17.4,16.88,17.2,17.2,17.2,17.14,2,3502,149.53,99924113,
2013-03-13 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,19.54,19.1,19.19,19.4,19.19,19.32,3,1753,149.53,99924111,
2013-03-14 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,16.85,16.36,16.75,16.75,16.5,16.605,3,3488,149.53,99924113,
2013-03-14 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,19.0,18.55,19.06,19.06,18.78,18.775,9,1720,149.53,99924111,
2013-03-15 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,16.94,16.6,16.75,16.75,16.75,16.77,16,3490,149.53,99924113,
2013-03-15 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,19.2,18.81,18.95,19.04,18.95,19.005001,2,1721,149.53,99924111,
2013-03-18 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,17.51,17.05,17.18,17.18,17.03,17.279999,6,3490,149.53,99924113,
2013-03-18 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,19.68,19.31,19.5,19.5,19.06,19.494999,3,1723,149.53,99924111,
2013-03-19 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,17.72,17.5,17.72,17.72,17.72,17.61,205,3490,149.53,99924113,
2013-03-19 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,20.06,19.71,,,,19.884998,0,1725,149.53,99924111,
2013-03-20 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,17.41,16.91,,,,17.16,0,3490,149.53,99924113,
2013-03-20 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,19.84,19.13,19.35,19.35,19.25,19.485,5,1725,149.53,99924111,
2013-03-21 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,17.75,17.47,17.84,17.84,17.84,17.61,88,3490,149.53,99924113,
2013-03-21 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,20.14,19.66,20.07,20.07,20.07,19.9,25,1730,149.53,99924111,
2013-03-22 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,17.55,16.82,,,,17.185,0,3413,149.53,99924113,
2013-03-22 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,19.77,19.02,,,,19.395,0,1730,149.53,99924111,
2013-03-25 00:00:00.0,SPY   151219P00145000,2015-12-19 00:00:00.0,145.0,P,CBOE,A,17.63,17.0,16.9,17.32,16.9,17.314999,799,3413,149.53,99924113,
2013-03-25 00:00:00.0,SPY   151219P00150000,2015-12-19 00:00:00.0,150.0,P,CBOE,A,19.88,19.23,19.15,19.55,19.15,19.555,206,1730,149.53,99924111,
